"","neighbourhood_name","species_name","count","proportion"
"52","ARBUTUS-RIDGE","HOLLANDICA   X",20,0.00386922035209905
"53","ARBUTUS-RIDGE","INVOLUCRATA",1,0.000193461017604953
"54","ARBUTUS-RIDGE","JAPONICA",35,0.00677113561617334
"55","ARBUTUS-RIDGE","JAPONICUM",101,0.0195395627781002
"56","ARBUTUS-RIDGE","KOBUS",146,0.0282453085703231
"57","ARBUTUS-RIDGE","KOUSA",23,0.00444960340491391
"58","ARBUTUS-RIDGE","LAVALLEI  X",20,0.00386922035209905
"59","ARBUTUS-RIDGE","LAWSONIANA",14,0.00270845424646934
"60","ARBUTUS-RIDGE","LILIIFLORA",3,0.000580383052814858
"61","ARBUTUS-RIDGE","MAACKII",6,0.00116076610562972
"62","ARBUTUS-RIDGE","MACROCARPA",1,0.000193461017604953
"63","ARBUTUS-RIDGE","MACROPHYLLUM",10,0.00193461017604953
"64","ARBUTUS-RIDGE","MENZIESII",22,0.00425614238730896
"65","ARBUTUS-RIDGE","MERTENSIANA",1,0.000193461017604953
"66","ARBUTUS-RIDGE","MORDENSIS",37,0.00715805765138325
"67","ARBUTUS-RIDGE","NEGUNDO",4,0.00077384407041981
"68","ARBUTUS-RIDGE","NIGRA",30,0.00580383052814858
"69","ARBUTUS-RIDGE","NIGRUM",3,0.000580383052814858
"70","ARBUTUS-RIDGE","NOOTKATENSIS",4,0.00077384407041981
"71","ARBUTUS-RIDGE","NUTTALLII",9,0.00174114915844457
"72","ARBUTUS-RIDGE","OCCIDENTALIS",4,0.00077384407041981
"73","ARBUTUS-RIDGE","ORIENTALIS",1,0.000193461017604953
"74","ARBUTUS-RIDGE","ORNUS",42,0.00812536273940801
"75","ARBUTUS-RIDGE","OXYACANTHA",13,0.00251499322886438
"76","ARBUTUS-RIDGE","OXYCARPA",146,0.0282453085703231
"77","ARBUTUS-RIDGE","PALMATUM",38,0.0073515186689882
"78","ARBUTUS-RIDGE","PALUSTRIS",18,0.00348229831688915
"79","ARBUTUS-RIDGE","PAPYRIFERA",9,0.00174114915844457
"80","ARBUTUS-RIDGE","PENDULA",63,0.012188044109112
"81","ARBUTUS-RIDGE","PENNSYLVANICA",37,0.00715805765138325
"82","ARBUTUS-RIDGE","PERSICA",30,0.00580383052814858
"83","ARBUTUS-RIDGE","PHAENOPYRUM",26,0.00502998645772877
"84","ARBUTUS-RIDGE","PHELLOS",1,0.000193461017604953
"85","ARBUTUS-RIDGE","PISIFERA",1,0.000193461017604953
"86","ARBUTUS-RIDGE","PLATANOIDES",213,0.0412071967498549
"87","ARBUTUS-RIDGE","PLICATA",16,0.00309537628167924
"88","ARBUTUS-RIDGE","PSEUDOACACIA",8,0.00154768814083962
"89","ARBUTUS-RIDGE","PSEUDOPLATANUS",103,0.0199264848133101
"90","ARBUTUS-RIDGE","PUMILA",7,0.00135422712323467
"91","ARBUTUS-RIDGE","QUADRANGULATA",2,0.000386922035209905
"92","ARBUTUS-RIDGE","RETICULATA",33,0.00638421358096344
"93","ARBUTUS-RIDGE","ROBUR",8,0.00154768814083962
"94","ARBUTUS-RIDGE","RUBRA",11,0.00212807119365448
"95","ARBUTUS-RIDGE","RUBRUM",239,0.0462371832075837
"96","ARBUTUS-RIDGE","SACCHARINUM",7,0.00135422712323467
"97","ARBUTUS-RIDGE","SACCHARUM",4,0.00077384407041981
"98","ARBUTUS-RIDGE","SALICINA",29,0.00561036951054363
"99","ARBUTUS-RIDGE","SARGENTII",16,0.00309537628167924
"100","ARBUTUS-RIDGE","SERRATA",31,0.00599729154575353
"101","ARBUTUS-RIDGE","SERRULATA",438,0.0847359257109692
"102","ARBUTUS-RIDGE","SIEBOLDII",1,0.000193461017604953
"103","ARBUTUS-RIDGE","SIMONII",1,0.000193461017604953
"104","ARBUTUS-RIDGE","SPECIES",38,0.0073515186689882
"105","ARBUTUS-RIDGE","SPECIOSA",3,0.000580383052814858
"106","ARBUTUS-RIDGE","STENOPTERA",1,0.000193461017604953
"107","ARBUTUS-RIDGE","STYRACIFLUA",32,0.00619075256335848
"108","ARBUTUS-RIDGE","SYLVATICA",139,0.0268910814470884
"109","ARBUTUS-RIDGE","SYLVESTRIS",26,0.00502998645772877
"110","ARBUTUS-RIDGE","THURINGIACA   X",2,0.000386922035209905
"111","ARBUTUS-RIDGE","TRIACANTHOS",80,0.0154768814083962
"112","ARBUTUS-RIDGE","TRICHOCARPA",3,0.000580383052814858
"113","ARBUTUS-RIDGE","TRUNCATUM",19,0.0036757593344941
"114","ARBUTUS-RIDGE","TULIPIFERA",46,0.00889920680982782
"115","ARBUTUS-RIDGE","VELUTINA",19,0.0036757593344941
"116","ARBUTUS-RIDGE","VIRGINIANA",42,0.00812536273940801
"117","ARBUTUS-RIDGE","VULGARIS",1,0.000193461017604953
"118","ARBUTUS-RIDGE","WATERERI  X",2,0.000386922035209905
"119","ARBUTUS-RIDGE","X YEDOENSIS",69,0.0133488102147417
"120","ARBUTUS-RIDGE","XX",70,0.0135422712323467
"121","ARBUTUS-RIDGE","ZUMI",130,0.0251499322886438
"122","DOWNTOWN","ABIES",1,0.000193836014731537
"123","DOWNTOWN","ACERIFOLIA   X",123,0.0238418298119791
"124","DOWNTOWN","ACUTISSIMA",67,0.012987012987013
"125","DOWNTOWN","ALNIFOLIA",3,0.000581508044194611
"126","DOWNTOWN","AMERICANA",50,0.00969180073657686
"127","DOWNTOWN","ARIA",3,0.000581508044194611
"128","DOWNTOWN","AUCUPARIA",7,0.00135685210312076
"129","DOWNTOWN","BACCATA",1,0.000193836014731537
"130","DOWNTOWN","BETULUS",289,0.0560186082574142
"131","DOWNTOWN","BILOBA",68,0.0131808490017445
"132","DOWNTOWN","CALLERYANA",122,0.0236479937972475
"133","DOWNTOWN","CAMPESTRE",147,0.028493894165536
"134","DOWNTOWN","CAPPADOCICUM",21,0.00407055630936228
"135","DOWNTOWN","CAROLINIANA",4,0.000775344058926148
"136","DOWNTOWN","CERASIFERA",3,0.000581508044194611
"137","DOWNTOWN","CHINENSE",67,0.012987012987013
"138","DOWNTOWN","COCCINEA",109,0.0211281256057375
"139","DOWNTOWN","CORDATA",60,0.0116301608838922
"140","DOWNTOWN","DECURRENS",3,0.000581508044194611
"141","DOWNTOWN","DENUDATA",2,0.000387672029463074
"142","DOWNTOWN","EUCHLORA   X",155,0.0300445822833883
"143","DOWNTOWN","EXCELSIOR",24,0.00465206435355689
"144","DOWNTOWN","FLEXILUS",2,0.000387672029463074
"145","DOWNTOWN","FLORIBUNDA",4,0.000775344058926148
"146","DOWNTOWN","FLORIDA",1,0.000193836014731537
"147","DOWNTOWN","FORTUNEI",7,0.00135685210312076
"148","DOWNTOWN","FRAINETTO",9,0.00174452413258383
"149","DOWNTOWN","FREEMANI   X",329,0.0637720488466757
"150","DOWNTOWN","GIGANTEUM",3,0.000581508044194611
"151","DOWNTOWN","GRANDIFOLIA",2,0.000387672029463074
"152","DOWNTOWN","GRISEUM",6,0.00116301608838922
"153","DOWNTOWN","HIPPOCASTANUM",16,0.00310137623570459
"154","DOWNTOWN","JAPONICA",41,0.00794727660399302
"155","DOWNTOWN","JAPONICUM",54,0.010467144795503
"156","DOWNTOWN","KEWENSIS X",4,0.000775344058926148
"157","DOWNTOWN","KOBUS",56,0.0108548168249661
"158","DOWNTOWN","KOUSA",7,0.00135685210312076
"159","DOWNTOWN","LAVALLEI  X",29,0.00562124442721458
"160","DOWNTOWN","LAWSONIANA",4,0.000775344058926148
"161","DOWNTOWN","MACROPHYLLUM",1,0.000193836014731537
"162","DOWNTOWN","MENZIESII",1,0.000193836014731537
"163","DOWNTOWN","MORDENSIS",5,0.000969180073657686
"164","DOWNTOWN","NEGUNDO",1,0.000193836014731537
"165","DOWNTOWN","OMORIKA",2,0.000387672029463074
"166","DOWNTOWN","ORIENTALIS",1,0.000193836014731537
"167","DOWNTOWN","ORNUS",18,0.00348904826516767
"168","DOWNTOWN","OXYCARPA",3,0.000581508044194611
"169","DOWNTOWN","PALMATUM",6,0.00116301608838922
"170","DOWNTOWN","PALUSTRIS",164,0.0317891064159721
"171","DOWNTOWN","PENDULA",12,0.00232603217677845
"172","DOWNTOWN","PENNSYLVANICA",4,0.000775344058926148
"173","DOWNTOWN","PENNSYLVANICUM",3,0.000581508044194611
"174","DOWNTOWN","PERSICA",88,0.0170575692963753
"175","DOWNTOWN","PHELLOS",8,0.0015506881178523
"176","DOWNTOWN","PLATANOIDES",348,0.0674549331265749
"177","DOWNTOWN","PLICATA",4,0.000775344058926148
"178","DOWNTOWN","PSEUDOACACIA",11,0.00213219616204691
"179","DOWNTOWN","PSEUDOCAMELLIA",4,0.000775344058926148
"180","DOWNTOWN","PSEUDOPLATANUS",4,0.000775344058926148
"181","DOWNTOWN","RETICULATA",13,0.00251986819150998
"182","DOWNTOWN","ROBUR",32,0.00620275247140919
"183","DOWNTOWN","ROBUR X ALBA",1,0.000193836014731537
"184","DOWNTOWN","RUBRA",78,0.0151192091490599
"185","DOWNTOWN","RUBRUM",1019,0.197518899011436
"186","DOWNTOWN","SACCHARINUM",23,0.00445822833882535
"187","DOWNTOWN","SACCHARUM",2,0.000387672029463074
"188","DOWNTOWN","SARGENTII",50,0.00969180073657686
"189","DOWNTOWN","SERRULATA",106,0.0205466175615429
"190","DOWNTOWN","SHUMARDII",65,0.0125993409575499
"191","DOWNTOWN","SPECIES",114,0.0220973056793952
"192","DOWNTOWN","STYRACIFLUA",174,0.0337274665632875
"193","DOWNTOWN","SUBHIRTELLA",3,0.000581508044194611
"194","DOWNTOWN","SYLVATICA",456,0.0883892227175809
"195","DOWNTOWN","TRIACANTHOS",125,0.0242295018414421
"196","DOWNTOWN","TRUNCATUM",84,0.0162822252374491
"197","DOWNTOWN","TULIPIFERA",184,0.0356658267106028
"198","DOWNTOWN","VELUTINA",6,0.00116301608838922
"199","DOWNTOWN","X YEDOENSIS",8,0.0015506881178523
"200","DOWNTOWN","XX",25,0.00484590036828843
"201","DUNBAR-SOUTHLANDS","ABIES",11,0.00116834838024429
"202","DUNBAR-SOUTHLANDS","ACERIFOLIA   X",168,0.0178438661710037
"203","DUNBAR-SOUTHLANDS","ACUTISSIMA",23,0.0024429102496017
"204","DUNBAR-SOUTHLANDS","ALBA",5,0.000531067445565587
"205","DUNBAR-SOUTHLANDS","ALNIFOLIA",18,0.00191184280403611
"206","DUNBAR-SOUTHLANDS","AMERICANA",435,0.0462028677642061
"207","DUNBAR-SOUTHLANDS","ANAGYROIDES",2,0.000212426978226235
"208","DUNBAR-SOUTHLANDS","AQUIFOLIUM",8,0.000849707912904939
"209","DUNBAR-SOUTHLANDS","ARAUCANA",2,0.000212426978226235
"210","DUNBAR-SOUTHLANDS","ARIA",22,0.00233669676048858
"211","DUNBAR-SOUTHLANDS","ARNOLDIANA X",1,0.000106213489113117
"212","DUNBAR-SOUTHLANDS","ATLANTICA",1,0.000106213489113117
"213","DUNBAR-SOUTHLANDS","AUCUPARIA",33,0.00350504514073287
"214","DUNBAR-SOUTHLANDS","AVELLANA",2,0.000212426978226235
"215","DUNBAR-SOUTHLANDS","AVIUM",79,0.00839086563993627
"216","DUNBAR-SOUTHLANDS","BABYLONICA",2,0.000212426978226235
"217","DUNBAR-SOUTHLANDS","BACCATA",13,0.00138077535847053
"218","DUNBAR-SOUTHLANDS","BALSAMEA",1,0.000106213489113117
"219","DUNBAR-SOUTHLANDS","BANKSIANA",5,0.000531067445565587
"220","DUNBAR-SOUTHLANDS","BETULUS",42,0.00446096654275093
"221","DUNBAR-SOUTHLANDS","BIGNONIOIDES",16,0.00169941582580988
"222","DUNBAR-SOUTHLANDS","BILOBA",9,0.000955921402018056
"223","DUNBAR-SOUTHLANDS","BLIREANA",6,0.000637280934678704
"224","DUNBAR-SOUTHLANDS","CALLERYANA",36,0.00382368560807223
"225","DUNBAR-SOUTHLANDS","CAMPESTRE",248,0.0263409453000531
"226","DUNBAR-SOUTHLANDS","CANADENSIS",13,0.00138077535847053
"227","DUNBAR-SOUTHLANDS","CAPPADOCICUM",20,0.00212426978226235
"228","DUNBAR-SOUTHLANDS","CARICA",2,0.000212426978226235
"229","DUNBAR-SOUTHLANDS","CARNEA   X",11,0.00116834838024429
"230","DUNBAR-SOUTHLANDS","CAROLINIANA",26,0.00276155071694105
"231","DUNBAR-SOUTHLANDS","CERASIFERA",1061,0.112692511949018
"232","DUNBAR-SOUTHLANDS","CIRCINATUM",3,0.000318640467339352
"233","DUNBAR-SOUTHLANDS","COCCINEA",9,0.000955921402018056
"234","DUNBAR-SOUTHLANDS","CONCOLOR",4,0.000424853956452469
"235","DUNBAR-SOUTHLANDS","CONTORTA",10,0.00106213489113117
"236","DUNBAR-SOUTHLANDS","CONTROVERSA",3,0.000318640467339352
"237","DUNBAR-SOUTHLANDS","CORDATA",13,0.00138077535847053
"238","DUNBAR-SOUTHLANDS","CRENATA",7,0.000743494423791822
"239","DUNBAR-SOUTHLANDS","CRUS-GALLI",11,0.00116834838024429
"240","DUNBAR-SOUTHLANDS","DECIDUA",1,0.000106213489113117
"241","DUNBAR-SOUTHLANDS","DENUDATA",3,0.000318640467339352
"242","DUNBAR-SOUTHLANDS","DEODARA",16,0.00169941582580988
"243","DUNBAR-SOUTHLANDS","DIOICUS",10,0.00106213489113117
"244","DUNBAR-SOUTHLANDS","EUCHLORA   X",78,0.00828465215082315
"245","DUNBAR-SOUTHLANDS","EUROPAEA   X",2,0.000212426978226235
"246","DUNBAR-SOUTHLANDS","EUROPEA",1,0.000106213489113117
"247","DUNBAR-SOUTHLANDS","EXCELSIOR",12,0.00127456186935741
"248","DUNBAR-SOUTHLANDS","FLAVA",1,0.000106213489113117
"249","DUNBAR-SOUTHLANDS","FLORIBUNDA",153,0.016250663834307
"250","DUNBAR-SOUTHLANDS","FLORIDA",5,0.000531067445565587
"251","DUNBAR-SOUTHLANDS","FRAINETTO",3,0.000318640467339352
"252","DUNBAR-SOUTHLANDS","FREEMANI   X",95,0.0100902814657461
"253","DUNBAR-SOUTHLANDS","GIGANTEUM",26,0.00276155071694105
"254","DUNBAR-SOUTHLANDS","GINNALA",3,0.000318640467339352
"255","DUNBAR-SOUTHLANDS","GLABRA",110,0.0116834838024429
"256","DUNBAR-SOUTHLANDS","GLAUCA",5,0.000531067445565587
"257","DUNBAR-SOUTHLANDS","GLYPTOSTROBOIDES",8,0.000849707912904939
"258","DUNBAR-SOUTHLANDS","GRANDIFLORA X",3,0.000318640467339352
"259","DUNBAR-SOUTHLANDS","GRANDIFOLIA",8,0.000849707912904939
"260","DUNBAR-SOUTHLANDS","GRANDIS",2,0.000212426978226235
"261","DUNBAR-SOUTHLANDS","GRIFFITHII",1,0.000106213489113117
"262","DUNBAR-SOUTHLANDS","GRISEUM",30,0.00318640467339352
"263","DUNBAR-SOUTHLANDS","HETEROPHYLLA",9,0.000955921402018056
"264","DUNBAR-SOUTHLANDS","HIPPOCASTANUM",274,0.0291024960169942
"265","DUNBAR-SOUTHLANDS","INSIGNIS",2,0.000212426978226235
"266","DUNBAR-SOUTHLANDS","INVOLUCRATA",10,0.00106213489113117
"267","DUNBAR-SOUTHLANDS","JAPONICA",107,0.0113648433351036
"268","DUNBAR-SOUTHLANDS","JAPONICUM",162,0.017206585236325
"269","DUNBAR-SOUTHLANDS","KEWENSIS X",8,0.000849707912904939
"270","DUNBAR-SOUTHLANDS","KOBUS",52,0.0055231014338821
"271","DUNBAR-SOUTHLANDS","KOUSA",35,0.00371747211895911
"272","DUNBAR-SOUTHLANDS","LAVALLEI  X",131,0.0139139670738184
"273","DUNBAR-SOUTHLANDS","LAWSONIANA",42,0.00446096654275093
"274","DUNBAR-SOUTHLANDS","LILIIFLORA",3,0.000318640467339352
"275","DUNBAR-SOUTHLANDS","LOEBNERI  X",1,0.000106213489113117
"276","DUNBAR-SOUTHLANDS","LUTEA",1,0.000106213489113117
"277","DUNBAR-SOUTHLANDS","MAACKII",1,0.000106213489113117
"278","DUNBAR-SOUTHLANDS","MACROCARPA",30,0.00318640467339352
"279","DUNBAR-SOUTHLANDS","MACROPHYLLUM",31,0.00329261816250664
"280","DUNBAR-SOUTHLANDS","MENZIESII",51,0.00541688794476899
"281","DUNBAR-SOUTHLANDS","MIYABEI",1,0.000106213489113117
"282","DUNBAR-SOUTHLANDS","MONADELPHA",4,0.000424853956452469
"283","DUNBAR-SOUTHLANDS","MONTICOLA",2,0.000212426978226235
"284","DUNBAR-SOUTHLANDS","MORDENSIS",16,0.00169941582580988
"285","DUNBAR-SOUTHLANDS","MUGO",4,0.000424853956452469
"286","DUNBAR-SOUTHLANDS","NEGUNDO",4,0.000424853956452469
"287","DUNBAR-SOUTHLANDS","NIGRA",34,0.00361125862984599
"288","DUNBAR-SOUTHLANDS","NIGRUM",1,0.000106213489113117
"289","DUNBAR-SOUTHLANDS","NOOTKATENSIS",5,0.000531067445565587
"290","DUNBAR-SOUTHLANDS","NORDMANNIANA",1,0.000106213489113117
"291","DUNBAR-SOUTHLANDS","NUTTALLII",41,0.00435475305363781
"292","DUNBAR-SOUTHLANDS","OBASSIA",1,0.000106213489113117
"293","DUNBAR-SOUTHLANDS","OCCIDENTALIS",48,0.00509824747742963
"294","DUNBAR-SOUTHLANDS","OMORIKA",5,0.000531067445565587
"295","DUNBAR-SOUTHLANDS","ORNUS",61,0.00647902283590016
"296","DUNBAR-SOUTHLANDS","OXYACANTHA",16,0.00169941582580988
"297","DUNBAR-SOUTHLANDS","OXYCARPA",6,0.000637280934678704
"298","DUNBAR-SOUTHLANDS","PADUS",6,0.000637280934678704
"299","DUNBAR-SOUTHLANDS","PALMATUM",89,0.00945300053106744
"300","DUNBAR-SOUTHLANDS","PALUSTRIS",138,0.0146574614976102
"301","DUNBAR-SOUTHLANDS","PAPYRIFERA",14,0.00148698884758364
"302","DUNBAR-SOUTHLANDS","PAVIA",1,0.000106213489113117
"303","DUNBAR-SOUTHLANDS","PENDULA",158,0.0167817312798725
"304","DUNBAR-SOUTHLANDS","PENNSYLVANICA",67,0.00711630377057886
"305","DUNBAR-SOUTHLANDS","PENNSYLVANICUM",18,0.00191184280403611
"306","DUNBAR-SOUTHLANDS","PERSICA",105,0.0111524163568773
"307","DUNBAR-SOUTHLANDS","PHAENOPYRUM",13,0.00138077535847053
"308","DUNBAR-SOUTHLANDS","PHELLOS",7,0.000743494423791822
"309","DUNBAR-SOUTHLANDS","PISIFERA",2,0.000212426978226235
"310","DUNBAR-SOUTHLANDS","PLATANOIDES",1165,0.123738714816782
"311","DUNBAR-SOUTHLANDS","PLATYPHYLLA",2,0.000212426978226235
"312","DUNBAR-SOUTHLANDS","PLATYPHYLLOS",5,0.000531067445565587
"313","DUNBAR-SOUTHLANDS","PLICATA",52,0.0055231014338821
"314","DUNBAR-SOUTHLANDS","POPULIFOLIA",3,0.000318640467339352
"315","DUNBAR-SOUTHLANDS","PRINUS",2,0.000212426978226235
"316","DUNBAR-SOUTHLANDS","PROCERA",2,0.000212426978226235
"317","DUNBAR-SOUTHLANDS","PSEUDOACACIA",46,0.0048858204992034
"318","DUNBAR-SOUTHLANDS","PSEUDOCAMELLIA",19,0.00201805629314923
"319","DUNBAR-SOUTHLANDS","PSEUDOPLATANUS",260,0.0276155071694105
"320","DUNBAR-SOUTHLANDS","PUMILA",43,0.00456718003186405
"321","DUNBAR-SOUTHLANDS","PUNGENS",43,0.00456718003186405
"322","DUNBAR-SOUTHLANDS","REGIA",3,0.000318640467339352
"323","DUNBAR-SOUTHLANDS","RETICULATA",33,0.00350504514073287
"324","DUNBAR-SOUTHLANDS","ROBUR",198,0.0210302708443972
"325","DUNBAR-SOUTHLANDS","RUBRA",250,0.0265533722782793
"326","DUNBAR-SOUTHLANDS","RUBRUM",403,0.0428040361125863
"327","DUNBAR-SOUTHLANDS","RUGOSA",8,0.000849707912904939
"328","DUNBAR-SOUTHLANDS","SACCHARINUM",6,0.000637280934678704
"329","DUNBAR-SOUTHLANDS","SACCHARUM",1,0.000106213489113117
"330","DUNBAR-SOUTHLANDS","SALICINA",40,0.00424853956452469
"331","DUNBAR-SOUTHLANDS","SARGENTII",27,0.00286776420605417
"332","DUNBAR-SOUTHLANDS","SATIVA",5,0.000531067445565587
"333","DUNBAR-SOUTHLANDS","SEROTINA",2,0.000212426978226235
"334","DUNBAR-SOUTHLANDS","SERRATA",21,0.00223048327137546
"335","DUNBAR-SOUTHLANDS","SERRULATA",994,0.105576208178439
"336","DUNBAR-SOUTHLANDS","SIEBOLDII",2,0.000212426978226235
"337","DUNBAR-SOUTHLANDS","SOULANGEANA  X",1,0.000106213489113117
"338","DUNBAR-SOUTHLANDS","SPECIES",82,0.00870950610727562
"339","DUNBAR-SOUTHLANDS","SPECIOSA",15,0.00159320233669676
"340","DUNBAR-SOUTHLANDS","SPECTABILIS",3,0.000318640467339352
"341","DUNBAR-SOUTHLANDS","STENOPTERA",1,0.000106213489113117
"342","DUNBAR-SOUTHLANDS","STYRACIFLUA",38,0.00403611258629846
"343","DUNBAR-SOUTHLANDS","SUBHIRTELLA",33,0.00350504514073287
"344","DUNBAR-SOUTHLANDS","SYLVATICA",156,0.0165693043016463
"345","DUNBAR-SOUTHLANDS","SYLVESTRIS",16,0.00169941582580988
"346","DUNBAR-SOUTHLANDS","SYRIACA",3,0.000318640467339352
"347","DUNBAR-SOUTHLANDS","TEGMENTOSUM",1,0.000106213489113117
"348","DUNBAR-SOUTHLANDS","TOMENTOSA",4,0.000424853956452469
"349","DUNBAR-SOUTHLANDS","TREMULOIDES",4,0.000424853956452469
"350","DUNBAR-SOUTHLANDS","TRIACANTHOS",64,0.00679766330323951
"351","DUNBAR-SOUTHLANDS","TRICHOCARPA",2,0.000212426978226235
"352","DUNBAR-SOUTHLANDS","TRILOBA",3,0.000318640467339352
"353","DUNBAR-SOUTHLANDS","TRUNCATUM",75,0.0079660116834838
"354","DUNBAR-SOUTHLANDS","TULIPIFERA",9,0.000955921402018056
"355","DUNBAR-SOUTHLANDS","TYPHINA",7,0.000743494423791822
"356","DUNBAR-SOUTHLANDS","VIRGINIANA",59,0.00626659585767392
"357","DUNBAR-SOUTHLANDS","WATERERI  X",10,0.00106213489113117
"358","DUNBAR-SOUTHLANDS","X YEDOENSIS",236,0.0250663834306957
"359","DUNBAR-SOUTHLANDS","XX",72,0.00764737121614445
"360","DUNBAR-SOUTHLANDS","YUNNANENSIS",5,0.000531067445565587
"361","DUNBAR-SOUTHLANDS","ZUMI",106,0.0112586298459904
"362","FAIRVIEW","ABIES",7,0.00174912543728136
"363","FAIRVIEW","ACERIFOLIA   X",19,0.00474762618690655
"364","FAIRVIEW","ALBA-SINENSIS",1,0.000249875062468766
"365","FAIRVIEW","ALNIFOLIA",6,0.00149925037481259
"366","FAIRVIEW","AMERICANA",165,0.0412293853073463
"367","FAIRVIEW","ANTARTICA",1,0.000249875062468766
"368","FAIRVIEW","AQUIFOLIUM",1,0.000249875062468766
"369","FAIRVIEW","ARNOLDIANA X",2,0.000499750124937531
"370","FAIRVIEW","AUCUPARIA",4,0.000999500249875062
"371","FAIRVIEW","AVIUM",49,0.0122438780609695
"372","FAIRVIEW","BABYLONICA",2,0.000499750124937531
"373","FAIRVIEW","BACCATA",3,0.000749625187406297
"374","FAIRVIEW","BETULUS",123,0.0307346326836582
"375","FAIRVIEW","BIGNONIOIDES",3,0.000749625187406297
"376","FAIRVIEW","BILOBA",4,0.000999500249875062
"377","FAIRVIEW","BUNGEI",10,0.00249875062468766
"378","FAIRVIEW","CALLERYANA",62,0.0154922538730635
"379","FAIRVIEW","CAMPESTRE",80,0.0199900049975013
"380","FAIRVIEW","CANADENSIS",1,0.000249875062468766
"381","FAIRVIEW","CAPPADOCICUM",5,0.00124937531234383
"382","FAIRVIEW","CARNEA   X",3,0.000749625187406297
"383","FAIRVIEW","CAROLINIANA",5,0.00124937531234383
"384","FAIRVIEW","CERASIFERA",134,0.0334832583708146
"385","FAIRVIEW","CHINENSE",1,0.000249875062468766
"386","FAIRVIEW","CIRCINATUM",8,0.00199900049975012
